Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.053875
n:  144, t: 0.036000, x[n]:   (1.000000,0.000093), y[n]:   (0.999367,0.000726), y(t):  (0.999991,-0.002891), diff:  (0.000625,-0.003617)
n:  145, t: 0.036250, x[n]:  (0.000107,-1.000000), y[n]:  (0.000739,-0.999367), y(t): (-0.002877,-0.999991), diff: (-0.003617,-0.000625)
n:  146, t: 0.036500, x[n]: (-1.000000,-0.000059), y[n]: (-0.999367,-0.000691), y(t):  (-0.999991,0.002925), diff:  (-0.000625,0.003617)
n:  147, t: 0.036750, x[n]:  (-0.000011,1.000000), y[n]:  (-0.000644,0.999367), y(t):   (0.002973,0.999991), diff:   (0.003617,0.000624)
n:  148, t: 0.037000, x[n]:   (1.000000,0.000025), y[n]:   (0.999367,0.000657), y(t):  (0.999991,-0.002959), diff:  (0.000624,-0.003617)
n:  149, t: 0.037250, x[n]:  (0.000038,-1.000000), y[n]:  (0.000670,-0.999367), y(t): (-0.002946,-0.999991), diff: (-0.003617,-0.000624)
n:  150, t: 0.037500, x[n]: (-1.000000,-0.000051), y[n]: (-0.999367,-0.000684), y(t):  (-0.999991,0.002933), diff:  (-0.000625,0.003617)
n:  151, t: 0.037750, x[n]:  (-0.000065,1.000000), y[n]:  (-0.000697,0.999367), y(t):   (0.002919,0.999991), diff:   (0.003617,0.000625)
n:  152, t: 0.038000, x[n]:   (1.000000,0.000078), y[n]:   (0.999367,0.000711), y(t):  (0.999991,-0.002906), diff:  (0.000625,-0.003617)
n:  153, t: 0.038250, x[n]:  (0.000091,-1.000000), y[n]:  (0.000724,-0.999367), y(t): (-0.002893,-0.999991), diff: (-0.003617,-0.000625)
n:  154, t: 0.038500, x[n]: (-1.000000,-0.000105), y[n]: (-0.999367,-0.000737), y(t):  (-0.999991,0.002879), diff:  (-0.000625,0.003617)
n:  155, t: 0.038750, x[n]:  (-0.000057,1.000000), y[n]:  (-0.000690,0.999367), y(t):   (0.002927,0.999991), diff:   (0.003617,0.000625)
n:  156, t: 0.039000, x[n]:   (1.000000,0.000071), y[n]:   (0.999367,0.000703), y(t):  (0.999991,-0.002914), diff:  (0.000625,-0.003617)
n:  157, t: 0.039250, x[n]:  (0.000023,-1.000000), y[n]:  (0.000655,-0.999367), y(t): (-0.002961,-0.999991), diff: (-0.003617,-0.000624)
n:  158, t: 0.039500, x[n]: (-1.000000,-0.000036), y[n]: (-0.999367,-0.000669), y(t):  (-0.999991,0.002948), diff:  (-0.000624,0.003617)
